,rewards
0,-415.7292583503055
1,-422.0154137470182
2,-106.89492289970632
3,-1818.488900378536
4,-1819.6902306443912
5,-106.79736097140083
6,-106.93929037013908
7,-1818.850737545274
8,-39879.05670216077
9,-976.505986910993
10,-1818.694381351547
11,-1819.201546872636
12,-43683.82581171355
13,-976.1428981937228
14,-1820.4182353609503
15,-410.05542247877
16,-975.7970272540072
17,-47646.78426905105
18,-979.354787605662
19,-976.0206756536072
20,-46057.91838998437
21,-33759.00036266068
22,-106.83904349079997
23,-976.3808306013412
24,-419.9725270169973
25,-106.98442827804196
26,-1821.866689887114
27,-107.02486860751289
28,-420.617636344618
29,-975.5920891677282
30,-976.1617111175332
31,-107.03657557539198
32,-423.1330371620288
33,-20658.536788359183
34,-41574.400895800834
35,-45140.051716795024
36,-416.7315466110859
37,-1818.6435411881089
38,-976.915433564094
39,-43289.3888199797
40,-23986.273490046984
41,-1818.4352157298435
42,-107.01817531579344
43,-420.17680844334456
44,-35885.673471144895
45,-107.03283313406445
46,-42746.3211600667
47,-976.3957223216772
48,-1820.0369984029237
49,-421.6904745542684
50,-417.5670851508692
51,-40324.42277553224
52,-418.3153643007113
53,-409.0288066946017
54,-417.9182973716214
55,-1818.8874223231617
56,-35105.79004576327
57,-413.2578559426337
58,-43351.33262458232
59,-20775.037052218213
60,-976.2591141427758
61,-1819.897126078948
62,-410.8095458194676
63,-1820.9166756319084
64,-412.2612092019031
65,-1819.53172918192
66,-979.4888605574072
67,-1820.241110090354
68,-106.93291897880778
69,-1818.6289050384144
70,-106.98988753766491
71,-978.4929432500646
72,-355.18808786952246
73,-37060.67892971831
74,-1818.3792908512755
75,-1820.4420507605555
76,-1818.438634839329
77,-977.1735980394132
78,-978.5890953854338
79,-42930.35844629677
80,-1818.389839270105
81,-413.0201010326754
82,-422.3678568520815
83,-1819.864663989512
84,-408.2194951853356
85,-1818.9616179626255
86,-360.38104900661057
87,-980.5565889067656
88,-106.74799357400582
89,-1818.874428225167
90,-419.890305265191
91,-413.0906701043671
92,-359.53316326509264
93,-411.02330284963256
94,-979.7628904401032
95,-1819.0818679573515
96,-1819.64788728594
97,-1818.384762431128
98,-107.03426131110744
99,-1818.856972763548
100,-978.6099953805696
101,-106.95849865903529
102,-106.95012790837032
103,-975.5506536008342
104,-107.00941664074328
105,-47519.80685231242
106,-106.92474452629288
107,-20529.041222383225
108,-979.3550979117706
109,-106.82705811177496
110,-1819.8823109231985
111,-415.7502776069024
112,-975.4357964619196
113,-1819.3581972731697
114,-976.2007479205116
115,-420.2031435046755
116,-1819.940853332333
117,-1819.5981334954529
118,-44821.33880594752
119,-413.8126694889382
120,-1818.965660839461
121,-33167.47690988128
122,-1818.536353925737
123,-976.0333566022856
124,-422.6029230183393
125,-1820.5424599700784
126,-46661.56449349671
127,-18735.29018138361
128,-976.387290311106
129,-420.1782946798775
130,-357.44426110281034
131,-106.89119880900668
132,-107.00071465791616
133,-975.9809351133704
134,-107.04089253107104
135,-107.03462156079654
136,-418.8019988785077
137,-980.1784385992383
138,-1821.8184058674872
139,-975.5779168690916
140,-49176.80758377093
141,-33210.96341077623
142,-24251.168297940247
143,-43627.81605578475
144,-976.866191310762
145,-48055.94487095148
146,-984.0442098892088
147,-1819.6855825327132
148,-31428.391274041485
149,-1818.3832551744772
150,-421.45209412498025
151,-106.94124551348077
152,-107.00903573742592
153,-1819.560394749739
154,-419.8526830346732
155,-420.248999740264
156,-975.6696967773256
157,-1821.2891856541169
158,-1819.5945858705768
159,-418.2392405658967
160,-106.99345573511307
161,-46636.44886476811
162,-1818.7888673262585
163,-46045.79440518728
164,-975.4374021390588
165,-1820.066281292278
166,-1819.0895054979308
167,-1819.868497638775
168,-977.3084629017144
169,-43650.24208023035
170,-45043.90041977324
171,-43382.4850291085
172,-41819.34599679326
173,-40356.10989979982
174,-106.8763909804325
175,-979.1943863389272
176,-420.0564958610126
177,-975.8329081461236
178,-976.6059082505894
179,-106.9182545487576
180,-51189.01398372152
181,-1819.604156570051
182,-414.98533220625575
183,-36107.053618604245
184,-47230.01019917243
185,-106.9051100381175
186,-106.89676237396732
187,-1819.3679031600295
188,-106.90786997341282
189,-420.9607197967712
190,-976.8604216869028
191,-1819.877854974391
192,-1818.257480342471
193,-423.5217909126526
194,-368.1996078118489
195,-39856.52181398268
196,-1819.8676778960205
197,-1820.1368597964176
198,-1819.538000054243
199,-977.9598653593536
200,-1820.3473951779167
201,-978.5808111693348
202,-423.1058293204576
203,-106.95088006165662
204,-423.240122877492
205,-412.012855762094
206,-976.6526936332388
207,-357.7688635955668
208,-978.231053723082
209,-28409.428905970435
210,-18195.407093616777
211,-976.5101093983784
212,-409.8876345407704
213,-357.1461619154238
214,-106.9875465252
215,-976.7522531167928
216,-978.1716847034872
217,-361.2560353695689
218,-47368.45219063684
219,-106.80430350303362
220,-1819.121031865376
221,-106.98334461490649
222,-421.5334218950048
223,-1818.5770578912636
224,-1818.7409403063432
225,-106.94997229779604
226,-107.02546237641204
227,-977.3975745596356
228,-20333.19743181231
229,-106.9854743250171
230,-976.6605537227816
231,-24270.704392764863
232,-107.03795458472452
233,-1819.0104394520447
234,-106.96941302720106
235,-16762.950634340075
236,-421.1406410448841
237,-1818.7421104834236
238,-975.7805949494953
239,-1818.3782060063604
240,-48639.71467635058
241,-1819.104369530999
242,-975.8144397249764
243,-36536.88869253681
244,-20842.60959517973
245,-1818.4165970361876
246,-420.5472495452773
247,-1819.861767037495
248,-977.4741203352598
249,-106.97386639883824
250,-1819.60561532778
251,-1819.0496621770524
252,-106.9267896817006
253,-1818.3912476259795
254,-419.9848516599456
255,-106.98614343170377
256,-1821.9447330951823
257,-979.5945758115448
258,-978.499699126761
259,-421.4196192396927
260,-410.5159066860592
261,-976.4641923692149
262,-23079.069452261752
263,-975.837338031485
264,-1821.5590105879608
265,-416.55270885250593
266,-1818.529203875692
267,-39140.4590326476
268,-975.9648042802982
269,-107.01694923897452
270,-422.3982540755724
271,-1819.3694748234896
272,-976.5888634300172
273,-975.707031933992
274,-414.76953530681953
275,-977.9688685225076
276,-975.7557067539047
277,-45502.49449868509
278,-1818.39927481072
279,-106.967988354025
280,-413.27352086314806
281,-106.69541137945689
282,-1818.275991378234
283,-1820.224658957368
284,-1818.740647056991
285,-976.6370941360672
286,-106.99071130635666
287,-37418.42068768593
288,-106.74475894778244
289,-1818.4335072992687
290,-106.88745391981873
291,-51096.201416683405
292,-360.9844600361301
293,-23139.37608855611
294,-975.809500308092
295,-358.5491827000239
296,-422.4332180059152
297,-107.03576952514138
298,-359.79807545984414
299,-975.8353978797828
300,-106.98638892028016
301,-975.660027815972
302,-49337.23532039334
303,-975.5662331466184
304,-107.01474806313831
305,-421.3425283775958
306,-977.3092721111318
307,-106.99845427939267
308,-975.443144272756
309,-1818.9142688645704
310,-1818.3703768450048
311,-1819.401252251197
312,-975.6077341711358
313,-1820.2899861318092
314,-413.5856210441728
315,-420.8352474235697
316,-1820.6503644453587
317,-107.0013325506752
318,-1821.9036316843592
319,-422.208000507162
320,-983.6857336212764
321,-362.59303059138847
322,-978.2150386292622
323,-41954.96617950265
324,-416.5049200712002
325,-106.97596855041618
326,-422.7112261322986
327,-1818.597978490182
328,-1818.3874400920663
329,-419.2649793887558
330,-15822.431525198195
331,-47213.381124821724
332,-976.8743219735496
333,-106.96714510147662
334,-107.03309449505474
335,-47261.54522431443
336,-976.6341652978292
337,-106.8527631211944
338,-414.77745904235104
339,-416.3206056987308
340,-47112.16195075317
341,-106.93860887419925
342,-106.90244522254828
343,-1819.1128330863803
344,-45140.61944777255
345,-977.6226375428454
346,-422.40747630549913
347,-363.8565555935122
348,-1818.3515526646645
349,-106.98168362947682
350,-982.0889529390544
351,-31980.273860531932
352,-419.0496946017103
353,-977.9658683357984
354,-980.2673850378804
355,-975.4053887511412
356,-976.0850198896292
357,-976.1688372996734
358,-976.9689048940388
359,-1819.9662693807816
360,-410.6730599698242
361,-1819.5988003148848
362,-1820.1133506045387
363,-1819.2091471792064
364,-106.88019054657016
365,-1818.939179205954
366,-1819.6031692243157
367,-1818.2902241496483
368,-1819.166200740975
369,-976.0494184202248
370,-106.9773434144936
371,-411.9063196877602
372,-48683.53562541194
373,-106.86466620857914
374,-975.9143941755729
375,-1818.951569485777
376,-980.7078631021604
377,-48159.27628450766
378,-106.94363864142154
379,-107.00007731175128
380,-106.62776497271908
381,-106.87963549099118
382,-107.02482030088788
383,-416.1000971632329
384,-372.56146204752673
385,-359.1272495352701
386,-419.5249788740767
387,-420.91291297614174
388,-38463.048288285056
389,-975.3999186174592
390,-1818.661685067989
391,-46672.64421820393
392,-363.6577543022108
393,-41710.67115177826
394,-976.400561723506
395,-977.0459321437132
396,-107.0230578128039
397,-1821.0438372756687
398,-975.9507260244134
399,-106.5649772999559
400,-30928.23746546636
401,-979.5466465279828
402,-976.0429694521516
403,-47814.70651097912
404,-413.83516591065177
405,-41991.03322101826
406,-41263.76819833367
407,-975.9175702377688
408,-106.8761934629358
409,-50543.704344405145
410,-1819.8874223024563
411,-1819.0389467011216
412,-980.6788618493453
413,-106.99853206089374
414,-106.9482460940167
415,-106.81671956458518
416,-107.027939819634
417,-978.1284578886932
418,-1821.427212756624
419,-27913.85749965145
420,-976.940528052384
421,-49702.85019346714
422,-418.2998423119322
423,-364.647093850036
424,-107.03323603223816
425,-106.95201692411528
426,-978.3583815233986
427,-1821.6029123381743
428,-106.92742419038318
429,-106.96468755509224
430,-1818.8759644837887
431,-418.7140975053976
432,-106.9378781316786
433,-33549.29998745736
434,-106.97227844770624
435,-413.4468513868341
436,-42147.50235700884
437,-975.6827389258602
438,-1818.56172573426
439,-418.9216979108993
440,-1819.308991379817
441,-44114.37081645919
442,-977.6132752478042
443,-1818.4495612684648
444,-107.0061470720709
445,-46073.51618655803
446,-23068.886754417537
447,-980.185128723008
448,-29731.272176439088
449,-15152.191653489192
450,-42749.90409029104
451,-1818.798212506291
452,-45564.5592517985
453,-1819.9379045285589
454,-978.1643558564374
455,-1818.5936944656928
456,-1820.447316101773
457,-978.0371835238908
458,-414.7519780158868
459,-1819.709709458812
460,-414.9858885834082
461,-107.02504538606358
462,-975.6802812269336
463,-1818.547877615281
464,-106.94223619594776
465,-418.13745102491015
466,-41742.01370144383
467,-1819.323316458872
468,-106.99349438924322
469,-43708.82757331238
470,-107.0253805182516
471,-40507.7342513
472,-417.7001415221372
473,-106.98592042810218
474,-106.99477294675437
475,-355.8553004525538
476,-359.4468375918564
477,-45562.28592838398
478,-977.4711171752527
479,-417.765659767641
480,-19105.748105424627
481,-40829.77843085886
482,-979.9930394636336
483,-415.2223361138901
484,-976.1578999487072
485,-977.3048106394448
486,-46278.03819291845
487,-24349.00116422157
488,-1818.710211161825
489,-978.414619344231
490,-107.01061967030525
491,-106.99843580464888
492,-415.9721916969156
493,-106.85087711896824
494,-41901.14869130706
495,-416.3641355210692
496,-1818.8419398130095
497,-27573.52754274482
498,-46164.85182178326
