rcprcp_mal09a,rcprcp_mal09b,rcprcp_mal09c,rcprcp_mal01a,rcprcp_mal01b,rcprcp_mal01c,krt007ma,krt008ma,ety101mp,ety102mp,ety103mp,ety104mp,rcp007mn,rcp008mn,rcp011mn,rcp037mp,rcp039mp,vvp007mp,vvp008mp,vvp009mp,vvp010mp,vvp011mp,vvp013mp,vvp014mp,are010mn,are020mn,are030mn,are052mn,are055mn,are058mn,are020mn,are053mn,are056mn,are059mn,are030mn,are054mn,are057mn,are060mn,are043md,are044md,are045md,are046md,are047md,are048md,are049md,are050md,asg001km,asg002km,asg003km,asg011km,asg012km,asg013km,rcp006mp,krt002ma,krt003ma,krt004ma,krt032ma,krt033ma,krt034ma,vvp001md,vvp002md,vvp003md,are401km,are402km,are403km,3are031vl_lc_sbk,3are031vl_lc_obk,3are031vl_lc_opnt,3are031vl_lc_spnt,3are031vl_p_pack,3are032vl_lc_sbk,3are032vl_lc_obk,3are032vl_lc_opnt,3are032vl_lc_spnt,3are032vl_p_pack,3are033vl_lc_sbk,3are033vl_lc_obk,3are033vl_lc_opnt,3are033vl_lc_spnt,3are033vl_p_pack,3are242vl_lc_sbk,3are242vl_lc_obk,3are242vl_lc_opnt,3are242vl_lc_spnt,3are242vl_p_pack,3are243vl_lc_sbk,3are243vl_lc_obk,3are243vl_lc_opnt,3are243vl_lc_spnt,3are243vl_p_pack,3are244vl_lc_sbk,3are244vl_lc_obk,3are244vl_lc_opnt,3are244vl_lc_spnt,3are244vl_p_pack,sec003mp,sec004mp,sap001mp,sar003sp,8ety501mp,3ety502mp,rpn401km,rpn407km,rpa309ks,rpb309ks,krt026ma,krt009ma,rpn403km,rpn409km,rri013ks,rri014ks,rcv502ks,rcv520ks,lha001mu,lhb001mu,lgb001mu,lgc001mu,sap007sp,sar003sp,ety013ks,rpa236ks,asg401ks,asg402ks,asg403ks,rcv018md,rcv017mp,rcv005md,rcv004mp,3rcv013vp_lc_sbk,3rcv013vp_lc_obk,3rcv013vp_lc_opnt,3rcv013vp_lc_spnt,3rcv013vp_p_pack,3asg012vd_lc_obk,3asg012vd_lc_opnt,3asg012vd_p_pack,3asg013vd_lc_obk,3asg013vd_lc_opnt,3asg013vd_p_pack,3asg014vd_lc_obk,3asg014vd_lc_opnt,3asg014vd_p_pack,3asg015vd_lc_obk,3asg015vd_lc_opnt,3asg015vd_p_pack,3asg016vd_lc_obk,3asg016vd_lc_opnt,3asg016vd_p_pack,3asg017vd_lc_obk,3asg017vd_lc_opnt,3asg017vd_p_pack,3rcp024mp_a_pnt,3gct131vv_lc_spnt,3gct132vv_lc_spnt,3gct133vv_lc_spnt,3gct131vv_lc_opnt,3gct132vv_lc_opnt,3gct133vv_lc_opnt,3gct131vv_lc_obk,3gct132vv_lc_obk,3gct133vv_lc_obk,3gct132vv_c_c7,3gct131vv_c_c7,3gct133vv_c_c7,3gct132vv_c_c8,3gct131vv_c_c8,3gct133vv_c_c8,3rcp001rs_c_c1,3rcp001rs_c_c2,3rcp002rs_c_c1,3rcp002rs_c_c2,3rcp003rs_c_c1,3rcp003rs_c_c2,3rcp004rs_c_c1,3rcp004rs_c_c2,3rcp005rs_c_c1,3rcp005rs_c_c2,3rcp005rs_c_c4,3rcp005rs_c_c5,3rcp006rs_c_c1,3rcp006rs_c_c2,3rcp006rs_c_c4,3rcp006rs_c_c5,3rcp001vp_lc_spnt,3rcp001vp_lc_opnt,3rcp001vp_c_c7,3rcp001vp_c_c8,3rcp001vp_lc_obk,3rcp002vp_lc_spnt,3rcp002vp_lc_opnt,3rcp002vp_c_c7,3rcp002vp_c_c8,3rcp002vp_lc_obk,3rcv046vp_lc_spnt,3rcv046vp_lc_opnt,3rcv046vp_c_c8,3rcv046vp_lc_obk,3rcp028mt,3rcp029mt,3ric100km,3ric200km,3rcp037mp,3rcp039mp,3rcp007mn,3rra024vp,3rra025vp,3rra025vp_control,3ric103km,3ric203km,3gct131vv_p_pack,3gct132vv_p_pack,3gct133vv_p_pack,3rcp001rs_p_pack,3rcp002rs_p_pack,3rcp003rs_p_pack,3rcp004rs_p_pack,3rcp005rs_p_pack,3rcp006rs_p_pack,3rra024vp_p_pack,3rra025vp_p_pack,3rcp001vp_p_pack,3rcp002vp_p_pack,3rcv046vp_p_pack
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
0,0,0,0,0,0,37000,10,100.975,100.975,100.981,100.981,0.0953498,0.0953498,0.0953498,15.3982,15.3982,6.66977,6.66965,6.66944,6.66977,6.66965,6.66977,6.66965,8.40E-05,4.28E-05,6.32E-05,8.40E-05,8.35E-05,8.35E-05,4.28E-05,4.28E-05,4.22E-05,4.22E-05,6.32E-05,6.32E-05,6.24E-05,6.24E-05,1911.02,1910.63,1885.68,1911.02,1910.63,1885.68,15,15,0,0,0,0,0,0,15.368,3700,3700,3700,0.1,0.1,0.1,1888.67,1888.28,1863.37,1911.02,1910.64,1885.68,-2.98E-08,48.9377,48.9378,0,12854020,-2.98E-08,48.7625,48.7625,0,12854020,-2.98E-08,47.3144,47.3144,0,12854020,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,-2.98E-08,100,100,0,-2134629628,189.731,0.0120312,0.814827,0,100,100.981,1,1,0,0,50,82794.1,0.001,0.001,0,0,0,0,6603,6592.85,6616.5,6601.57,0,0,0,0,0,0,0,10.1994,17.7582,13.5826,2.49998,2.5,34.2777,34.2778,2.5,262912,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,100,100,-2134638332,0.0157492,7.75029,7.75029,7.75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.224,0,27.224,326.954,292.671,333.417,333.458,15.3982,15.3982,0.0953498,30,30,30,11.1819,11.14,1074012928,1074012928,1074012928,1086588932,1086588932,-2134638592,-2134638592,1086586884,1086586884,262400,262400,1086595844,1086595844,271104
